text,label
"""1. ""Surely you can't support a candidate who's had so many scandals, right?""",leading
"""2. ""Don't you think it's time we held big corporations accountable?""",leading
"""3. ""Given the environmental impact, would you still choose this product?""",leading
"""4. ""Isn't it true that you were the last person to see the victim alive?""",leading
"""5. ""Don't you want to make a difference in the world with your purchase?""",leading
"""6. ""Wouldn't it be great if we could all agree on this controversial topic?""",leading
"""7. ""Isn't honesty the best policy, even in small lies?""",leading
"""8. ""Considering the low crime rate in this neighborhood, don't you feel safe here?""",leading
"""9. ""Don't you think it's irresponsible to not vaccinate your children?""",leading
"""10. ""Wouldn't you prefer a company that values sustainability?""",leading
"""11. ""Isn't it a bit selfish to only think about your own interests?""",leading
"""12. ""Given the majority's opinion, don't you think you're in the minority here?""",leading
"""13. ""Don't you think it's time to move on from these outdated technologies?""",leading
"""14. ""Isn't it true that you and the victim had a heated argument the night before?""",leading
"""15. ""Wouldn't you rather have a service that's quick and reliable?""",leading
"""16. ""Don't you believe that stricter laws would deter crime?""",leading
"""17. ""Isn't it in the best interest of the team to make this change?""",leading
"""18. ""Considering the limited budget, don't you think we should prioritize this project?""",leading
"""19. ""Wouldn't you want a doctor who's been practicing for decades?""",leading
"""20. ""Isn't it true that you've been struggling financially lately?""",leading
"""21. ""Don't you think it's important to support local businesses?""",leading
"""22. ""Given the high success rate, wouldn't you take this opportunity?""",leading
"""23. ""Isn't it a bit unethical to profit from this situation?""",leading
"""24. ""Don't you think it's unfair to expect us to work overtime without extra pay?""",leading
"""25. ""Wouldn't you rather have a partner who's loyal and dedicated?""",leading
"""26. ""Isn't it time we re-evaluated our stance on this issue?""",leading
"""27. ""Don't you think it's dangerous to live in such a remote area?""",leading
"""28. ""Given the popularity of this product, wouldn't you like to try it?""",leading
"""29. ""Isn't it true that you've been seen with the suspect before?""",leading
"""30. ""Don't you think it's reckless to drive without insurance?""",leading
"""31. ""Wouldn't you prefer a plan that's easy to understand and follow?""",leading
"""32. ""Isn't it a bit hypocritical to criticize others when you've done the same?""",leading
"""33. ""Don't you think it's wise to diversify your investment portfolio?""",leading
"""34. ""Given the tight deadline, don't you think we should work together on this?""",leading
"""35. ""Isn't it true that you've been having some personal problems recently?""",leading
"""36. ""Wouldn't you want a politician who's honest and transparent?""",leading
"""37. ""Don't you think it's important to consider all sides of the argument?""",leading
"""38. ""Isn't it true that you've been late to work several times this month?""",leading
"""39. ""Considering the high stakes, don't you think we should proceed carefully?""",leading
"""40. ""Wouldn't you want a service that's personalized to your needs?""",leading
"""41. ""Isn't it a bit contradictory to advocate for peace while carrying a weapon?""",leading
"""42. ""Don't you think it's time to face the facts about this situation?""",leading
"""43. ""Given the low price, wouldn't you consider this a good deal?""",leading
"""44. ""Isn't it true that you've been spending more time with the new employee?""",leading
"""45. ""Wouldn't you prefer a job that offers growth and advancement opportunities?""",leading
"""46. ""Don't you think it's irresponsible to leave your children home alone?""",leading
"""47. ""Isn't it a bit naive to believe that things will change without action?""",leading
"""48. ""Given the limited resources, wouldn't you agree that we should prioritize?""",leading
"""49. ""Wouldn't you want a partner who's supportive and understanding?""",leading
"""50. ""Don't you think it's time we had a serious conversation about this?""",leading
"""Wouldn't you say that the current administration has handled the economy rather poorly?""",leading
"""Given the environmental impact, shouldn't we consider stricter regulations?""",leading
"""Are you still eating meat, despite the health concerns?""",leading
"""Isn't it true that you were at the scene of the crime last night?""",leading
"""Do you find it acceptable that companies are not paying their fair share of taxes?""",leading
"""Don't you think it's irresponsible to drive a car that pollutes so much?""",leading
"""Given the evidence presented, how could one not believe in climate change?""",leading
"""Are you comfortable with the amount of data tech companies collect on us?""",leading
"""Don't you think it's time we re-evaluate our stance on immigration?""",leading
"""Isn't it fair to say that your actions led to the accident?""",leading
"""Given the success of our competitors, don't you think we should consider their strategies?""",leading
"""Do you still support the use of fossil fuels, despite the cleaner alternatives?""",leading
"""Don't you find it hypocritical to advocate for animal rights while eating meat?""",leading
"""Would you say that your actions were reckless, given the circumstances?""",leading
"""Given the high crime rate here, shouldn't we support more police funding?""",leading
"""Are you not convinced by the scientific consensus on vaccines?""",leading
"""Don't you think it's time we had a serious conversation about gun control?""",leading
"""Is it not true that you've had financial difficulties recently?""",leading
"""Given the popularity of this product, wouldn't you like to try it?""",leading
"""Don't you think it's about time we update our outdated laws?""",leading
"""Isn't it safe to say that you were under the influence last night?""",leading
"""Given the current situation, wouldn't you agree that change is needed?""",leading
"""Don't you feel guilty about contributing to fast fashion?""",leading
"""Isn't it true that you've been seen with the suspect before?""",leading
"""Given the rising prices, wouldn't you like to switch to our budget-friendly plan?""",leading
"""Don't you think it's unethical to test on animals?""",leading
"""Are you not aware of the environmental benefits of recycling?""",leading
"""Given the seriousness of the allegation, wouldn't you like to explain your actions?""",leading
"""Don't you find it concerning that your friend has been acting strangely?""",leading
"""Isn't it time we addressed the lack of diversity in our company?""",leading
"""Given the potential risks, wouldn't you like to upgrade to our premium service?""",leading
"""Don't you think it's irresponsible to text and drive?""",leading
"""Isn't it fair to say that you've been neglecting your duties lately?""",leading
"""Given the positive reviews, wouldn't you like to book a stay with us?""",leading
"""Don't you feel that your actions have let the team down?""",leading
"""Is it not true that you've been having financial struggles?""",leading
"""Given the limited time, wouldn't you like to order online?""",leading
"""Don't you think it's important to support local businesses?""",leading
"""Isn't it safe to say that you've been driving recklessly?""",leading
"""Given the high demand, wouldn't you like to reserve your spot now?""",leading
"""Don't you find it offensive when people make fun of your accent?""",leading
"""Isn't it true that you've been working longer hours recently?""",leading
"""Given the competitive market, wouldn't you like to try our product for free?""",leading
"""Don't you think it's unhealthy to spend so much time alone?""",leading
"""Isn't it true that you've been having marital problems?""",leading
"""1. ""In your opinion, isn't it high time we implemented stricter gun control laws?""",leading
"""2. ""Given the current administration's track record, should we really trust their handling of the economy?""",leading
"""3. ""You wouldn't want to be seen supporting a company with such poor environmental practices, would you?""",leading
"""4. ""Considering the countless lives saved, how could anyone oppose vaccines?""",leading
"""5. ""Don't you think it's irresponsible to keep driving such an old, fuel-inefficient car?""",leading
"""6. ""Given the evidence, can you still doubt that climate change is real and caused by humans?""",leading
"""7. ""Isn't it about time we held big tech companies accountable for their data privacy practices?""",leading
"""8. ""Wouldn't you agree that the death penalty is a barbaric and outdated punishment?""",leading
"""9. ""Given the success of our competitors, don't you think we should consider switching to renewable energy?""",leading
"""10. ""How could anyone not love our new product line? It's a game-changer, isn't it?""",leading
"""11. ""Considering the dire situation of our planet, how can we justify continuing to use single-use plastics?""",leading
"""12. ""Don't you think it's unfair that he got the promotion over you, given your superior qualifications?""",leading
"""13. ""Given the polls, it's clear who's leading the race. Who do you think will win?""",leading
"""14. ""Wouldn't your life be easier if you switched to our smart home system?""",leading
"""15. ""Considering the safety concerns, don't you think we should ban e-scooters in the city center?""",leading
"""16. ""How could anyone not be moved by the heartbreaking stories of refugees at our borders?""",leading
"""17. ""Given the rise in popularity of plant-based diets, wouldn't you consider trying one yourself?""",leading
"""18. ""Don't you think it's time we asked our representatives to support stricter campaign finance laws?""",leading
"""19. ""Considering the high success rate, wouldn't you like to try our new weight loss program?""",leading
"""20. ""Isn't it about time we held social media platforms accountable for the spread of misinformation?""",leading
"""21. ""Given the evidence, can you still support a politician who has been accused of corruption?""",leading
"""22. ""Wouldn't you prefer a travel company that prioritizes sustainable tourism?""",leading
"""23. ""Considering the health risks, don't you think we should tax sugary drinks?""",leading
"""24. ""Isn't it refreshing to finally have a leader who tells it like it is?""",leading
"""25. ""Given the economic benefits, wouldn't you support the construction of a new pipeline?""",leading
"""26. ""How could anyone not be impressed by our company's innovative new product?""",leading
