text,label
"""1. **Headline:** ""Shocking Secret: The Food You're Eating is Making You Sick!""",clickbait
"""**Paragraph:** ""You won't believe what's really in your dinner! Our exclusive investigation reveals the shocking truth about your grocery list. Act now before it's too late!""",clickbait
"""2. **Headline:** ""Lady Gaga Spotted with Mystery Man - Is She Finally Over Bradley?""",clickbait
"""**Paragraph:** ""The singer was seen holding hands with a handsome stranger. Is this her rebound? You won't want to miss this!""",clickbait
"""3. **Headline:** ""5 Ancient Chinese Secrets to Melt Belly Fat - Unbelievable Results!""",clickbait
"""**Paragraph:** ""These secret techniques have been passed down for generations. Try them now and watch your waistline shrink!""",clickbait
"""4. **Headline:** ""NASA Cover-Up? Mysterious Object Spotted Near Mars""",clickbait
"""**Paragraph:** ""A strange object was caught on NASA's live feed near Mars. They refused to comment. What are they hiding?""",clickbait
"""5. **Headline:** ""Top 5 Secrets to a Perfect Body - No Gym Required!""",clickbait
"""**Paragraph:** ""Forget expensive gym memberships! These easy hacks can get you beach-ready in no time. You won't believe #5!""",clickbait
"""6. **Headline:** ""Are You at Risk? The Terrifying Truth About Your Tap Water""",clickbait
"""**Paragraph:** ""Your glass of water might be hiding a deadly secret. Take our quiz to find out if you're in danger.""",clickbait
"""7. **Headline:** ""This One Weird Trick Will Boost Your Immune System!""",clickbait
"""**Paragraph:** ""Say goodbye to colds and flu! This simple hack will make you healthier than ever. You won't believe how easy it is!""",clickbait
"""8. **Headline:** ""Kim and Kanye's Shocking Breakup - The Truth Revealed!""",clickbait
"""**Paragraph:** ""The famous couple is over! We have the exclusive details on their explosive argument. You won't want to miss this!""",clickbait
"""9. **Headline:** ""The Government's Scariest Cover-Up Exposed""",clickbait
"""**Paragraph:** ""They don't want you to know this! Digging through hundreds of classified documents, we've uncovered the truth. Read on if you dare!""",clickbait
"""10. **Headline:** ""The Secret behind Leonardo DiCaprio's Eternal Youth - Revealed!""",clickbait
"""**Paragraph:** ""The actor's anti-aging secret is finally out! This simple change to your routine can add years to your life. You won't believe how easy it is!""",clickbait
"""11. **Headline:** ""Your Favorite Celebrity is a Fraud - Exposed!""",clickbait
"""**Paragraph:** ""The truth about their rags-to-riches story will shock you! Click to find out who the real imposter is.""",clickbait
"""12. **Headline:** ""The Secret to a Happy Marriage - Straight from Hollywood's Power Couples!""",clickbait
"""**Paragraph:** ""Forget expensive therapy! These celebrity-approved tips can save your relationship. Try them now and thank us later!""",clickbait
"""13. **Headline:** ""Are You a Psychopath? Take Our Quiz to Find Out!""",clickbait
"""**Paragraph:** ""Think you're normal? Think again! This quiz will reveal the dark side of your personality. Don't miss out!""",clickbait
"""14. **Headline:** ""The Truth About Aliens - A Former NASA Scientist Speaks Out!""",clickbait
"""**Paragraph:** ""He risked everything to tell the world what he knows. What he has to say will change everything you thought you knew about UFOs.""",clickbait
"""15. **Headline:** ""The Most Dangerous Place on Earth - Revealed!""",clickbait
"""**Paragraph:** ""You won't believe where you're most likely to die. Our investigation will shock you to your core.""",clickbait
"""16. **Headline:** ""The Controversial Truth About Vaccines - Are They Safe?""",clickbait
"""**Paragraph:** ""The debate is heating up, and you won't want to miss out. We've gathered the evidence, and it's not pretty.""",clickbait
"""17. **Headline:** ""The Surprising Reason Why You're Still Single - And How to Fix It!""",clickbait
"""**Paragraph:** ""Think your dating life is doomed? Think again! This simple change can transform your love life. You won't believe how easy it is!""",clickbait
"""18. **Headline:** ""The One Food You Should NEVER Eat - And Why!""",clickbait
"""**Paragraph:** ""Our investigation reveals the shocking truth about this seemingly harmless food. You won't want to eat it again!""",clickbait
