text,label
"""The product arrived damaged and customer service was unhelpful in resolving the issue.""",0
"""I waited on hold for over an hour just to be told I had to fill out a form online.""",0
"""The quality of the item is not what I expected; it feels cheap and flimsy.""",0
"""I can't believe I paid so much for this, and it didn't even work out of the box.""",0
"""The delivery was over a week late, and nobody bothered to keep me updated.""",0
"""I tried to return my purchase, but the store policy is so confusing I gave up.""",0
"""The staff was rude and dismissive when I asked for assistance with my order.""",0
"""I was excited to try this product, but it completely fell short of my expectations.""",0
"""The app keeps crashing, making it impossible to use the features I need.""",0
"""I received the wrong item and now I’m stuck with something I didn’t order.""",0
"""I sent an email about my billing error, and it took two weeks to get a response.""",0
"""This is the third time I’ve had issues with my order, and I’m fed up.""",0
"""The website was glitchy during checkout, and I was charged twice for my order.""",0
"""I appreciate the fast shipping, but the item was not as described and I'm disappointed.""",0
"""I really wanted to love this service, but the customer support team was unresponsive.""",0
"""After a month of waiting, my order was canceled without any explanation.""",0
"""I was promised a refund, but it’s been over a month and I still haven’t seen it.""",0
"""The quality control on this product is a joke; I found multiple defects.""",0
"""I had high hopes, but the product didn’t deliver on any of its promises.""",0
"""I felt like I was treated as an inconvenience rather than a valued customer.""",0
"""The instructions were unclear, and I ended up damaging the product while assembling it.""",0
"""I’m not one to complain, but this experience was frustrating from start to finish.""",0
"""I expected better service based on the reviews, but I was sadly disappointed.""",0
"""It’s almost as if no one cares about customer satisfaction anymore.""",0
"""I had to escalate my issue to a manager just to get someone to listen to me.""",0
"""I can’t recommend this company after my experience; it was a complete letdown.""",0
"""The product description was misleading, and now I have something I can’t use.""",0
"""I felt like I was talking to a robot during my support call; no real help at all.""",0
"""I received a damaged item and the return process is just too complicated.""",0
"""I was told my order would arrive on Thursday, but it’s now Monday and nothing.""",0
"""The item worked for a week before it just stopped functioning entirely.""",0
"""I tried reaching out for help, but the responses were generic and unhelpful.""",0
"""This was my first time shopping here, and I doubt I’ll be back after this.""",0
"""The customer support rep was condescending, which made the situation even worse.""",0
