text,label
"""12. ""'The Ghost of Yesterday' is a chilling story of a woman haunted by her past, blending psychological horror with a powerful exploration of grief and redemption.""",drama
"""37. ""In 'John Wick: Chapter 2,' Keanu Reeves' titular assassin takes on a ruthless group of international assassins, with a series of stunning, balletic fights that blend both practical and CGI effects, set against the backdrop of a secret society of hitmen and their hidden rules.""",action
"""- ""The slow burn of 'Hereditary' paid off with a terrifying crescendo, as the film expertly blended familial drama with supernatural horror, leaving me emotionally drained.""",horror
"""- ""A Star is Born"" (2018) is a modern retelling of the classic love story, filled with passion, music, and a powerful performances by Lady Gaga and Bradley Cooper.""",romance
"""45. ""In Narcos, José Padilha's blend of action, crime, and drama turns the series into a tense, suspenseful exploration of the cocaine trade and the people involved. The show's blend of genres and its focus on the human cost of violence and corruption make it a unique, captivating cinematic journey.""",action
"""49. A gripping, action-packed cat-and-mouse game played out in the shadows of a sprawling, labyrinthine city, as a relentless, unstoppable force hunted its prey, their desperate struggle for survival interspersed with moments of dark humor and unexpected tenderness, set against the backdrop of a crumbling, decaying city.""",horror
"""34. ""'The Theory of Everything' is a poignant drama that combines elements of biography and romance, telling the true story of physicist Stephen Hawking and his relationship with his first wife.""",drama
"""18. ""With its intricate portrayal of a family's struggle with mental illness, 'Silver Linings Playbook' is a darkly humorous drama that also features moments of action and emotional intensity.""",drama
"""24. ""In 'The Raid: Redemption 2,' Indonesian martial arts and brutal, prison-driven action create an intense, claustrophobic thriller that's as much a crime saga as it is an action-packed revenge story.""",action
"""4. ""This gothic horror romance was like a dark, twisted fairytale. The love story was as haunting as the supernatural threats, and the atmospheric, brooding setting was the perfect backdrop for this chilling tale.""",horror
"""- ""'First Reformed' is a tense, dramatically charged thriller that explores themes of faith, environmentalism, and personal struggle, interweaving moments of quiet, introspective reflection with moments of horrifying, unforgettable violence.""",drama
"""25. ""'Scream' was a clever and subversive take on the slasher genre, with its self-aware characters and darkly humorous moments making it a standout horror film.""",horror
"""- ""Eternal Sunshine of the Spotless Mind"" is a non-linear, cerebral exploration of love, memory, and loss, with a unique blend of comedy and drama.""",romance
"""- ""In 'The Social Network', David Fincher's taut direction and Aaron Sorkin's sharp dialogue propel this biographical drama, which is as much about the birth of a tech empire as it is about friendship, ambition, and the true cost of success.""",drama
"""1. ""This supernatural horror masterpiece keeps you on the edge, with its eerily atmospheric old mansion and genuine jump scares, while also tugging at heartstrings with a tragic love story.""",horror
"""- ""This Eastern-inspired horror film expertly uses cultural folklore to create atmospheric terror, leaving me on the edge of my seat.""",horror
"""'The Blind Side' tells a heartwarming story of family and football, merging 'drama' with 'sports' and 'biopic' elements.""",drama
"""30. ""In Mission: Impossible - Fallout, Tom Cruise's blend of action, espionage, and drama turns the film into a thrilling, suspenseful adventure. The film's focus on teamwork, trust, and the human cost of one's actions give it a strong dramatic core, while its blend of genres makes it a unique, exhilarating cinematic experience.""",action
"""7. ""'Brokeback Mountain' is a powerful exploration of love that transcends societal norms, with stunning visuals that complement the emotional intensity.""",romance
"""14. ""The Martian is a blend of action, drama, and science fiction, with Matt Damon's witty performance adding humor to the film's high-stakes survival story.""",action
"""- ""'The Invisible Man' explores themes of abuse and control, with a timely relevance.""",horror
"""- ""In '10 Things I Hate About You', Kat and Patrick's romantic misadventures are filled with comedic moments, tender interactions, and heartfelt revelations, as they navigate their feelings for one another.""",romance
"""28. ""In 'Sicario,' Emily Blunt's idealistic FBI agent is drawn into a deadly game of cat and mouse with a powerful Mexican drug cartel, with a series of tense, high-stakes action sequences that blend realistic gunplay and brutal hand-to-hand combat.""",action
"""2. ""Mad Max: Fury Road keeps the pedal to the metal with relentless vehicular mayhem, offering a dystopian spectacle that's equal parts action and post-apocalyptic horror.""",action
"""17. ""John Woo's signature, hyper-stylized gunplay and emotional, melodramatic tone make 'The Killer' a seminal action-thriller with a strong dose of romantic tragedy.""",action
"""- ""A gripping blend of horror and historical drama, this film uses its period setting to create a sense of unease that feels almost tangible.""",horror
"""9. ""Their love story was as complex and layered as the city they lived in, a romantic drama that felt as real and messy as life itself.""",romance
"""- ""'The Taking of Deborah Logan' was a clever, unsettling horror that used its found-footage style and slow-burn pacing to create a sense of growing unease and dread.""",horror
"""22. ""'The Last Black Man in San Francisco' is a poetic comedy-drama about gentrification. Jimmie Fails and Jonathan Majors' performances are the heart of this unique, heartfelt film.""",comedy
"""- ""'Sorry, I Love You' is a heartfelt and funny South Korean drama about a man who poses as his identical twin to win back his ex-girlfriend, leading to a complex and emotional exploration of love and identity.""",comedy
"""- ""'The Equalizer 2' is a gritty, intense action film that masterfully balances vigilante justice with a complex, emotionally resonant narrative, with Denzel Washington's magnetic performance driving the film's tension-filled narrative.""",action
"""5. ""While the film's horror elements were genuinely chilling, they paled in comparison to the emotional trauma inflicted by the characters' personal conflicts and societal pressures.""",drama
"""9. ""Despite its historical setting, 'Lincoln' manages to blend political intrigue with compelling drama, as Daniel Day-Lewis's portrayal of the 16th President brings the man and his times vividly to life.""",drama
"""44. ""This film is a bloody good time, with enough scares and thrills to satisfy even the most demanding horror fan.""",horror
"""21. ""A gore-filled fest that satisfied horror fans, but it was the clever plot that kept me invested.""",horror
"""- ""'Aliens' is a masterclass in suspenseful action, expertly balancing horror elements with intense firefights, as Ripley faces off against the terrifying Xenomorphs.""",action
"""- ""'Oldboy' is a dark, twisted thriller that's as much about the psychological torment of its protagonist as it is about the intense, violent action sequences that drive the narrative.""",action
"""- ""This chilling tale of paranoia was a masterclass in tension, with its slow-burn pacing building to an intense, claustrophobic climax.""",horror
"""1. The narrative weaves together personal struggles, like a man's battle with addiction, with societal issues, such as healthcare inequality.""",drama
"""41. ""A clever mix of comedy and science fiction, 'The Martian' is a hilarious and action-packed exploration of the power of human ingenuity and perseverance.""",comedy
"""- ""This 'found footage' horror film starts as a 'mockumentary' about a group of friends exploring an abandoned asylum, but quickly escalates into a genuinely terrifying 'supernatural' ordeal.""",horror
"""- ""'Manchester by the Sea' is a deeply emotional, often brutal exploration of grief and family dynamics, with Casey Affleck's raw, understated performance anchoring this devastating yet hopeful portrait of small-town life.""",drama
"""19. ""This social issue film's exploration of racial injustice was as compelling as its romantic subplot, with a powerful narrative that packed an emotional punch.""",drama
"""- ""A queer romance that sparkles with wit and warmth, this film celebrates love in all its messy, beautiful glory. The chemistry between the leads is electric, and their journey is as heartwarming as it is empowering.""",romance
"""26. ""From the laugh-out-loud physical comedy to the clever, subversive humor, this horror-comedy felt like a breath of fresh air, even when it was tackling heavy themes like death and the afterlife with its hilarious, yet thought-provoking wit.""",comedy
"""- ""'The Importance of Being Earnest' is a classic Oscar Wilde play that's equal parts comedy and wit, with its sharp dialogue and social commentary still resonating today.""",comedy
"""- ""'Carrie' delivers a memorable prom scene, with effective use of telekinesis for scares.""",horror
"""20. ""'Game Night' is a comedy-mystery that's as funny as it is suspenseful. Rachel McAdams and Jason Bateman's performances are the heart of this wild game night gone wrong.""",comedy
"""50. ""A delightful, romantic comedy set in the world of professional sports, this film follows a young woman as she becomes entangled in a fake relationship with her celebrity crush, only to find herself falling for him in real life.""",romance
"""8. ""With its cringe-inducing humor and awkward family dynamics, 'The Office' is a relatable comedy that's as funny as it is awkward. Dwight's eccentricity and Jim's pranks are scene-stealers.""",comedy
"""24. ""Set against the backdrop of a high school production of 'Romeo and Juliet,' 'Glee' is a joyous, emotional exploration of love, identity, and self-expression, as the glee club members find their voices and their hearts.""",romance
"""37. ""'The Grand Budapest Hotel' is a visually stunning comedy-drama about a concierge and his lobby boy. Ralph Fiennes and Tony Revolori's performances make this a Wes Anderson classic.""",comedy
"""18. ""This was a haunted house film that was as much about the house as it was about the people trapped inside it.""",horror
"""16. ""A cross-cultural romance with a dash of comedy, 'Spicy Love, Sweet Life' serves up a mouthful of emotions.""",romance
"""(Action, Horror, Thriller)""",action
"""27. ""'Love in the Time of Zombies' is a thrilling, action-packed romance that proves love can conquer even the undead.""",romance
"""- ""The love story in 'Get Out' is a subplot in this tense, atmospheric thriller, as Chris and Rose navigate their relationship amidst a sinister plot.""",romance
"""26. ""A hilarious take on the heist genre, this comedy had me laughing at the absurdity of the plan. The dark humor was sharp, and the action sequences were surprisingly thrilling.""",comedy
"""- ""A gripping blend of crime drama and horror, this film keeps you guessing until the final reveal, as detectives unravel a sinister mystery.""",horror
"""10. ""This ensemble comedy managed to blend genuinely funny moments with surprisingly poignant drama, as its diverse cast navigated the ups and downs of their lives with humor, heart, and a few unexpected twists.""",comedy
"""- ""'Spotlight' is a tense, gripping investigative drama, focusing on the true story of journalists uncovering the Catholic Church's systematic cover-up of sexual abuse.""",drama
