text,label
"""1. ""Breaking News: NASA's Perseverance Rover successfully lands on Mars!""",not_toxic
"""2. ""Can't wait to try out that new coffee shop downtown, anyone want to join me?""",not_toxic
"""3. ""I'm really struggling with this math problem, can anyone offer some guidance?""",not_toxic
"""4. ""Just saw the sunset, it was absolutely breathtaking!""",not_toxic
"""5. ""Disappointing to see the game ended in a draw, but well played, team!""",not_toxic
"""6. ""I'm curious, what's everyone's opinion on the latest documentary about climate change?""",not_toxic
"""7. ""Could anyone recommend a good book to read over the weekend?""",not_toxic
"""8. ""I'm so proud of you for sticking to your fitness goal!""",not_toxic
"""9. ""It's raining again, I wish the weather would make up its mind!""",not_toxic
"""10. ""Let's debate: Which is better, cats or dogs? I'm Team Cat!""",not_toxic
"""11. ""I'm sorry to hear about your loss, if there's anything you need, just let me know.""",not_toxic
"""12. ""I'm feeling really overwhelmed with work, anyone have tips for managing stress?""",not_toxic
"""13. ""Just heard some amazing news, I'm getting a promotion!""",not_toxic
"""14. ""I'm struggling to understand this article, can someone explain it in simpler terms?""",not_toxic
"""15. ""I'm so excited for the upcoming music festival, who's going with me?""",not_toxic
"""16. ""I'm really enjoying this podcast, have you listened to it yet?""",not_toxic
"""17. ""I'm sorry, I didn't mean to interrupt, please continue.""",not_toxic
"""18. ""I'm so impressed with your public speaking skills, keep it up!""",not_toxic
"""19. ""I'm a bit annoyed, the traffic is terrible today.""",not_toxic
"""20. ""I'm really passionate about recycling, anyone want to join me in starting a community initiative?""",not_toxic
"""21. ""I'm really looking forward to our team-building activity this weekend!""",not_toxic
"""22. ""I'm so impressed with the latest smartphone release, I might have to upgrade.""",not_toxic
"""23. ""I'm really curious about learning a new language, any recommendations on where to start?""",not_toxic
"""24. ""I'm so impressed with the diversity in this year's Oscar nominations!""",not_toxic
"""25. ""I'm really frustrated with my internet connection today, it's been so slow!""",not_toxic
"""26. ""I'm feeling really inspired after watching that TED talk, let's discuss!""",not_toxic
"""27. ""I'm so glad I finally got to try that famous pizza place, it was delicious!""",not_toxic
"""28. ""I'm really interested in learning more about coding, any beginner tips?""",not_toxic
"""29. ""I'm so disappointed in the customer service I received today.""",not_toxic
"""30. ""I'm really impressed with the art exhibition downtown, you should check it out!""",not_toxic
"""31. ""I'm so excited for the upcoming vacation, where are we going again?""",not_toxic
"""32. ""I'm really struggling with my finances, any budgeting advice would be appreciated.""",not_toxic
"""33. ""I'm really looking forward to the new movie release this Friday, who's with me?""",not_toxic
"""34. ""I'm so impressed with the progress made in the latest vaccination drive!""",not_toxic
"""35. ""I'm really curious about the upcoming election, what's everyone's stance?""",not_toxic
"""36. ""I'm so impressed with the variety of vendors at the farmers market today!""",not_toxic
"""37. ""I'm really feeling adventurous today, who's up for a spontaneous road trip?""",not_toxic
"""38. ""I'm so disappointed with the lack of communication in our team meeting today.""",not_toxic
"""39. ""I'm really excited to start my new job next week, wish me luck!""",not_toxic
"""40. ""I'm really struggling with my mental health lately, if you've been through something similar, I'd love to hear about it.""",not_toxic
"""41. ""I'm so impressed with the latest tech innovation, it's amazing what they can do these days!""",not_toxic
"""42. ""I'm really looking forward to the upcoming conference, let's connect there!""",not_toxic
"""43. ""I'm so disappointed in the result of the game, but we'll get them next time!""",not_toxic
"""44. ""I'm really interested in learning more about that historical event, any book recommendations?""",not_toxic
"""45. ""I'm so impressed with the dedication of our volunteers, they're truly making a difference!""",not_toxic
"""46. ""I'm really struggling with my creativity lately, anyone have some spark-inducing ideas?""",not_toxic
"""47. ""I'm so excited for the upcoming concert, I've been waiting for this for months!""",not_toxic
"""48. ""I'm really interested in learning more about that cultural festival, who wants to go with me?""",not_toxic
"""49. ""I'm so disappointed with the quality of service at that restaurant last night.""",not_toxic
"""50. ""I'm really looking forward to the upcoming community event, let's make it a great one!""",not_toxic
"""Local farmers' market opens today, can't wait to try the fresh produce!""",not_toxic
"""I'm curious, what's your take on the new movie that just came out?""",not_toxic
"""Congratulations on your promotion, you've worked so hard for it!""",not_toxic
"""I'm feeling a bit overwhelmed, does anyone have any tips for managing stress?""",not_toxic
"""Let's debate: which is the best pizza topping? Pepperoni or mushroom?""",not_toxic
"""The weather is beautiful today, perfect for a picnic in the park!""",not_toxic
"""I'm sorry to hear about your loss, if you need someone to talk to, I'm here.""",not_toxic
"""Just finished reading 'To Kill a Mockingbird,' what a powerful book!""",not_toxic
"""I'm a bit confused about the new project requirements, could you clarify them for me?""",not_toxic
"""I'm excited to join the gym next week, any fitness tips are appreciated!""",not_toxic
"""The latest tech innovation is fascinating, how do you think it will impact our future?""",not_toxic
"""I'm frustrated with the slow internet today, any suggestions to boost my connection?""",not_toxic
"""Let's discuss: should schools start later in the morning? I'd love to hear your thoughts.""",not_toxic
"""I'm impressed by the artwork at the gallery, who's your favorite artist?""",not_toxic
"""I'm thinking of volunteering, any organizations you'd recommend?""",not_toxic
"""Great job on the presentation, your data visualization was very clear!""",not_toxic
"""I'm struggling with a math problem, anyone care to lend a hand?""",not_toxic
"""Just tried a new recipe, it was a delicious disaster, but we'll improve next time!""",not_toxic
"""Let's chat about the upcoming election, I'm eager to understand different perspectives.""",not_toxic
"""Apple unveils new iPhone, tech enthusiasts thrilled.""",not_toxic
"""Traffic jams expected on I-95 today, plan your route accordingly.""",not_toxic
"""Excited to try out that new restaurant downtown.""",not_toxic
"""Saddened by the news of the forest fire, let's support the relief efforts.""",not_toxic
"""Cannot wait to finish this project, just one more task to go!""",not_toxic
"""Disappointed with the movie, but the cinematography was stunning.""",not_toxic
"""Curious about the new exhibition at the art gallery.""",not_toxic
"""Frustrated with the long lines at the DMV, but at least they're moving.""",not_toxic
"""Thrilled to see our local sports team win last night!""",not_toxic
"""Intrigued by the latest scientific discoveries about black holes.""",not_toxic
"""Let's discuss the pros and cons of remote work, I see valid points on both sides.""",not_toxic
"""Empathizing with those affected by the recent power outage, hope services are restored soon.""",not_toxic
"""Delighted to see more people using reusable bags at the store.""",not_toxic
"""Concerned about the impact of climate change, let's take action in our community.""",not_toxic
"""Debating between two book options for our book club, both look interesting.""",not_toxic
"""Impressed by the student's presentation, they clearly put a lot of effort into it.""",not_toxic
"""Disappointed with the customer service, but I'll try again and express my concerns.""",not_toxic
"""- NASA's Perseverance rover successfully lands on Mars.""",not_toxic
"""- I'm really excited about the new book I just started.""",not_toxic
"""- Have you tried the new Thai restaurant downtown?""",not_toxic
"""- I'm curious, what's your take on the latest movie by Christopher Nolan?""",not_toxic
"""- I'm sorry to hear about your loss, I'm here if you need to talk.""",not_toxic
"""- I couldn't agree more, the environment needs more protection.""",not_toxic
"""- I'm struggling with this task, could you guide me through it?""",not_toxic
"""- I'm not sure I understand, could you rephrase that please?""",not_toxic
"""- The new iPhone's camera is impressive, but it's pricey.""",not_toxic
"""- I'm disappointed in the service, I expected more for the price.""",not_toxic
"""- I've been trying to learn guitar, any tips are welcome!""",not_toxic
"""- I'm predicting a win for Team A in the upcoming match.""",not_toxic
"""- Have you watched the documentary on climate change? It's eye-opening.""",not_toxic
"""- I'm concerned about the new data privacy regulations, have you looked into them?""",not_toxic
"""- Let's meet at the park this weekend, it's been ages since our last catch-up.""",not_toxic
"""- The latest report suggests a rise in global temperatures. Concerning, isn't it?""",not_toxic
"""- I'm impressed by your presentation skills, you're a natural.""",not_toxic
"""- I'm feeling a bit overwhelmed, do you have a moment to chat?""",not_toxic
"""- I'm not convinced by the new product, it lacks innovation.""",not_toxic
"""- The weather's gorgeous today, perfect for a picnic!""",not_toxic
"""- I'm frustrated with my slow internet, any suggestions to boost speed?""",not_toxic
"""- Let's discuss our project ideas over coffee tomorrow?""",not_toxic
"""- I'm inspired by the speech given by the young activist today.""",not_toxic
"""- I'm not a fan of spicy food, any recommendations for a non-spicy dish?""",not_toxic
"""- The company's new policy seems unfair, let's discuss it at the next meeting.""",not_toxic
"""- I'm excited about the upcoming conference, I hope to learn a lot.""",not_toxic
"""- I'm confused by the new software update, can someone guide me?""",not_toxic
"""- The local farmers market is amazing, I found some great produce.""",not_toxic
"""- I'm worried about the rising cost of living, aren't you?""",not_toxic
"""- Let's debate the merits of working from home versus the office.""",not_toxic
"""- I'm enthusiastic about the new project, let's make it a success!""",not_toxic
"""- I'm not sure I understand the new regulations, could someone explain them?""",not_toxic
"""- The museum exhibit was fascinating, I learned so much.""",not_toxic
"""- I'm feeling creative today, any ideas for a DIY project?""",not_toxic
"""- I'm disappointed with the team's performance, we can do better.""",not_toxic
"""- The new podcast is gripping, I can't stop listening.""",not_toxic
"""- I'm struggling with motivation, any tips for keeping myself going?""",not_toxic
"""- Let's plan a hike this weekend, it's been too long since our last adventure.""",not_toxic
"""- I'm not convinced by the new policy, I think we should reconsider it.""",not_toxic
"""- The new album by my favorite band is incredible, I've been listening on repeat.""",not_toxic
"""- I'm excited to announce my promotion, I've worked hard for this.""",not_toxic
"""- I'm concerned about the increase in traffic congestion, what do you think?""",not_toxic
"""- Let's discuss our options for the upcoming project, I have some ideas.""",not_toxic
"""- I'm not satisfied with the quality of the product, I expected better.""",not_toxic
"""- The local book club is starting a new book, I'm looking forward to it.""",not_toxic
"""- I'm feeling a bit under the weather, I might take the day off.""",not_toxic
"""- I'm not sure I agree with that statement, could you elaborate further?""",not_toxic
"""- The new coffee shop is cozy, I could spend hours here.""",not_toxic
"""- I'm confused about the new pricing structure, could you clarify it?""",not_toxic
"""- Let's go for a walk, it's a lovely day outside.""",not_toxic
"""- I'm impressed by the initiative taken by the local community.""",not_toxic
"""- I'm not a fan of horror movies, any other suggestions for tonight?""",not_toxic
"""- The new recipe I tried was delicious, you should give it a shot!""",not_toxic
"""- I'm concerned about the impact of social media on mental health.""",not_toxic
"""- Let's brainstorm some ideas for the upcoming event.""",not_toxic
"""- I'm not sure I understand the rules, could you explain them to me?""",not_toxic
"""- The art exhibition was stunning, my favorite piece was...""",not_toxic
"""- I'm excited to share some good news, I got accepted into the program!""",not_toxic
"""- I'm disappointed with the customer service, I've been on hold for ages.""",not_toxic
"""- The new workout class is tough, but I feel great afterwards.""",not_toxic
"""- Let's discuss our plans for the holiday season.""",not_toxic
"""- I'm not convinced that's the best approach, let's consider other options.""",not_toxic
"""- The new bakery is amazing, I highly recommend the croissants.""",not_toxic
"""- I'm struggling with a decision, any advice would be appreciated.""",not_toxic
"""- Let's plan a virtual game night this weekend, who's in?""",not_toxic
"""- I'm impressed by the progress made on the project, well done team!""",not_toxic
"""- I'm not a fan of public speaking, any tips to help me overcome it?""",not_toxic
"""- The new plant-based restaurant is delicious, I'll definitely be back.""",not_toxic
"""- Let's debate the pros and cons of remote work.""",not_toxic
"""- I'm excited to try out the new cooking class, any tips for a beginner?""",not_toxic
"""- I'm not convinced by the latest product review, I think it's biased.""",not_toxic
"""- The local music festival was incredible, I discovered some great new bands.""",not_toxic
"""- I'm concerned about the increasing cost of housing in the city.""",not_toxic
"""- Let's organize a charity event, I'm happy to help plan it.""",not_toxic
"""- I'm not satisfied with the quality of the product, I'll request a refund.""",not_toxic
"""- The new documentary is thought-provoking, it's got me thinking about...""",not_toxic
"""1. ""Breaking News: NASA's Perseverance rover successfully lands on Mars!""",not_toxic
"""2. ""Just tried this new coffee shop downtown, their lattes are amazing!""",not_toxic
"""3. ""I'm struggling to understand this new software, can anyone offer some guidance?""",not_toxic
"""4. ""Did you see the score of last night's game? What a comeback!""",not_toxic
"""5. ""I'm so proud of my daughter, she just got accepted into her first-choice college.""",not_toxic
"""6. ""I've been trying to learn a new language, any tips are appreciated.""",not_toxic
"""7. ""I'm really disappointed that the store was out of the latest bestseller. Do you know when they restock?""",not_toxic
"""8. ""I've been meaning to ask, how do you manage your team's projects so effectively?""",not_toxic
"""9. ""I'm so excited for the new season of my favorite show to start this weekend!""",not_toxic
"""10. ""I've been wondering, what's your take on the new government policy?""",not_toxic
"""11. ""I'm feeling a bit down today, anyone up for a chat?""",not_toxic
"""12. ""I can't believe I missed the deadline, I'm so frustrated with myself right now.""",not_toxic
"""13. ""I'm so impressed by how our local community came together to help those in need.""",not_toxic
"""14. ""I'm not sure I agree with the latest review on this product, have you tried it?""",not_toxic
"""15. ""I'm so happy to see you two reconciling, your friendship means a lot to me.""",not_toxic
"""16. ""I've been trying to find a good book club to join, any recommendations?""",not_toxic
"""17. ""I'm really impressed by the work our marketing team has done this quarter.""",not_toxic
"""18. ""I'm so sorry to hear about your loss. If you need someone to talk to, I'm here.""",not_toxic
"""19. ""I've been debating whether to switch to a plant-based diet, what are your thoughts?""",not_toxic
"""20. ""I can't wait to visit the art gallery this weekend, have you been before?""",not_toxic
"""21. ""I'm really struggling with motivation today, any words of encouragement?""",not_toxic
"""22. ""I'm so excited to announce that I've been promoted to team leader!""",not_toxic
"""23. ""I'm not sure I understand this graph, could you explain it to me again?""",not_toxic
"""24. ""I'm feeling a bit overwhelmed with work lately, any tips for managing my time better?""",not_toxic
"""25. ""I'm so proud of our city for winning the bid to host the next Olympics!""",not_toxic
"""26. ""I've been trying to decide between these two products, any advice?""",not_toxic
"""27. ""I'm so impressed by the progress our company has made this year.""",not_toxic
"""28. ""I'm feeling really curious about the upcoming election, what are your thoughts?""",not_toxic
"""29. ""I'm so glad we could work out our differences and come to an agreement.""",not_toxic
"""30. ""I've been trying to cut down on my sugar intake, any healthy dessert recommendations?""",not_toxic
"""31. ""I'm really concerned about the impact of climate change, what do you think we can do?""",not_toxic
"""32. ""I'm so excited to finally see my favorite band in concert this Friday!""",not_toxic
"""33. ""I'm not sure I understand this new policy, could you clarify it for me?""",not_toxic
"""34. ""I'm so impressed by the dedication of our local volunteers.""",not_toxic
"""35. ""I've been wanting to start a garden, any tips for beginners?""",not_toxic
"""36. ""I'm really frustrated with the lack of response from customer service today.""",not_toxic
"""37. ""I'm so proud to call you my friend, you've been there for me through so much.""",not_toxic
"""38. ""I'm not sure I agree with the critic's review, I thought the film was excellent.""",not_toxic
"""39. ""I'm so excited to start my new job on Monday, wish me luck!""",not_toxic
"""40. ""I've been trying to learn more about coding, any resources you'd recommend?""",not_toxic
"""41. ""I'm really disappointed that I didn't get the job, but I'll keep trying.""",not_toxic
"""42. ""I'm so grateful for the support of our local businesses during these challenging times.""",not_toxic
"""43. ""I'm not sure I understand this new project brief, could we discuss it further?""",not_toxic
"""44. ""I'm so impressed by the creativity of our design team's latest ideas.""",not_toxic
"""45. ""I'm really struggling with anxiety lately, any advice would be appreciated.""",not_toxic
"""46. ""I'm so proud to have completed my first 5k run today!""",not_toxic
"""47. ""I'm not sure I agree with the latest fashion trend, what do you think?""",not_toxic
