text,label
"""Don't you think it’s obvious that this decision was the best one, considering all the evidence?""",leading
"""Wouldn’t you agree that most people in your position would have acted the same way?""",leading
"""Isn’t it fair to say that you must have known about the issue before it escalated?""",leading
"""You’d probably admit that this outcome was inevitable, right?""",leading
"""Surely, someone with your expertise couldn’t have overlooked such a critical detail, could they?""",leading
"""I’m guessing you’d concur that this approach aligns perfectly with the goals, don’t you?""",leading
"""It’s hard to argue against the fact that you played a key role in this success, wouldn’t you say?""",leading
"""Can we not all see that this was the only logical conclusion to draw from the situation?""",leading
"""You must have realized by now that this was the superior strategy, haven’t you?""",leading
"""Isn’t it somewhat apparent that your actions contributed to the final result, in a way?""",leading
"""Could you share your thoughts on what might have happened during the event last night, without focusing on any specific person or action?""",not_leading
"""I’m curious to hear your perspective on the project timeline—how do you think it’s progressing so far?""",not_leading
"""What are some factors, in your view, that could influence the outcome of this situation?""",not_leading
"""Can you describe the general atmosphere in the room at the time, based on what you noticed?""",not_leading
"""Without pointing to any particular decision, what’s your take on how things have unfolded recently?""",not_leading
"""I’d like to know more about your experience with the process—can you walk me through your observations?""",not_leading
"""In a broad sense, what do you reckon contributed to the current state of affairs?""",not_leading
"""Might you elaborate on the context surrounding the issue, keeping it as general as possible?""",not_leading
"""What’s your overall impression of the circumstances, without zeroing in on any one detail?""",not_leading
"""Could you reflect on the matter at hand in a way that captures the bigger picture?""",not_leading
