text,label
"""Breaking: NASA's Perseverance rover successfully lands on Mars.""",not_sarcasm
"""Finally home from work, can't wait to relax.""",not_sarcasm
"""The new bakery downtown has the best croissants.""",not_sarcasm
"""Just started reading 'The Nightingale', it's gripping.""",not_sarcasm
"""I'm so proud of my niece, she just got into her dream college.""",not_sarcasm
"""Can't believe it's already June, where did the time go?""",not_sarcasm
"""My friend just opened a coffee shop, wish them luck!""",not_sarcasm
"""Watching 'Hamilton', it's amazing.""",not_sarcasm
"""Need help moving this weekend, anyone available?""",not_sarcasm
"""Just tried meditation for the first time, felt very calming.""",not_sarcasm
"""Thinking of you today, friend. You're in my thoughts.""",not_sarcasm
"""Finally finished my garden, it looks beautiful.""",not_sarcasm
"""Just saw a shooting star, made a wish!""",not_sarcasm
"""Working from home has its perks, like lunch with the cat.""",not_sarcasm
"""Worried about the upcoming storm, hope everyone stays safe.""",not_sarcasm
"""I'm so grateful for the support from my colleagues.""",not_sarcasm
"""Just got back from a hike, nature is so restorative.""",not_sarcasm
"""Trying out that new recipe I saw on Instagram.""",not_sarcasm
"""Excited to see my family this weekend, miss them so much.""",not_sarcasm
"""Feeling a bit under the weather, might take a sick day.""",not_sarcasm
"""Just started learning Spanish, it's challenging but fun.""",not_sarcasm
"""Thrilled to announce I've been promoted.""",not_sarcasm
"""Sending love and strength to everyone affected by the recent wildfires.""",not_sarcasm
"""Just saw 'Black Widow', it was action-packed and emotional.""",not_sarcasm
"""Feeling motivated to hit the gym after work.""",not_sarcasm
"""Can't believe 'Game of Thrones' has been over for three years.""",not_sarcasm
"""Just got back from volunteering at the local food bank, felt rewarding.""",not_sarcasm
"""Thinking about traveling again, miss exploring new places.""",not_sarcasm
"""Just tried stand-up paddleboarding, it was a challenge!""",not_sarcasm
"""Sad to hear about the passing of a local legend, he will be missed.""",not_sarcasm
"""Just found out I'm going to be an aunt, can't wait to meet the little one.""",not_sarcasm
"""Feeling inspired after attending that art exhibition.""",not_sarcasm
"""Just got my COVID-19 vaccine, feeling relieved and grateful.""",not_sarcasm
"""Thinking of all the healthcare workers on the frontlines, you're heroes.""",not_sarcasm
"""Just saw a beautiful sunset, it was like nature's masterpiece.""",not_sarcasm
"""Trying out remote work for the first time, it's different but interesting.""",not_sarcasm
"""Just started a book club with some friends, looking forward to discussing 'The Vanishing Half'.""",not_sarcasm
"""Feeling nostalgic today, thinking about childhood memories.""",not_sarcasm
"""Sending virtual hugs to everyone who needs one.""",not_sarcasm
"""Just discovered a new favorite podcast, 'How I Built This'.""",not_sarcasm
"""Feeling grateful for the simple things in life, like a warm cup of tea on a rainy day.""",not_sarcasm
"""Just saw a post about a local community event, looking forward to attending.""",not_sarcasm
"""Thinking about all the people who have lost their lives to COVID-19, they will not be forgotten.""",not_sarcasm
"""Just started a new project at work, feeling excited and a bit nervous.""",not_sarcasm
"""Feeling the Monday blues, anyone else?""",not_sarcasm
"""Just saw a post about a charity run, thinking about participating.""",not_sarcasm
"""Thinking about all the teachers who are going above and beyond this year.""",not_sarcasm
"""Just started learning how to play the guitar, it's been a struggle but fun.""",not_sarcasm
"""Feeling blessed to have such wonderful friends in my life.""",not_sarcasm
"""Just saw a post about a local protest, thinking about attending.""",not_sarcasm
"""Thinking about all the small businesses that have struggled during the pandemic.""",not_sarcasm
"""Just started a new diet, feeling motivated but hungry.""",not_sarcasm
"""Feeling the pressure of upcoming deadlines, need to buckle down.""",not_sarcasm
"""Just saw a post about a local farmers market, looking forward to visiting.""",not_sarcasm
"""Thinking about all the lives that have been changed by the recent hurricane.""",not_sarcasm
"""Just started a new job, feeling excited and a bit overwhelmed.""",not_sarcasm
"""Feeling grateful for the little moments of joy in everyday life.""",not_sarcasm
"""Just saw a post about a local poetry reading, thinking about attending.""",not_sarcasm
"""Thinking about all the people who are struggling with mental health during these challenging times.""",not_sarcasm
"""Just started a new workout routine, feeling sore but determined.""",not_sarcasm
"""Feeling lucky to have found such a supportive community online.""",not_sarcasm
"""Just saw a post about a local fundraiser, thinking about donating.""",not_sarcasm
"""Thinking about all the people who are fighting for social justice, you're inspiring.""",not_sarcasm
"""Just started a new knitting project, it's very relaxing.""",not_sarcasm
"""Feeling anxious about the upcoming election, hope everyone gets out to vote.""",not_sarcasm
"""Just saw a post about a local art exhibit, looking forward to visiting.""",not_sarcasm
"""1. ""Breaking: NASA's Perseverance rover successfully lands on Mars.""",not_sarcasm
"""2. ""Just got my first coffee of the day, starting the morning right.""",not_sarcasm
"""3. ""I'm so proud of my daughter, she just got accepted into her dream college.""",not_sarcasm
"""4. ""Can't wait to see 'No Time to Die,' the new James Bond movie.""",not_sarcasm
"""5. ""I'm worried about the upcoming weather forecast, they're predicting heavy snow.""",not_sarcasm
"""6. ""Finally finished that report, time to clock out and enjoy the weekend.""",not_sarcasm
"""7. ""Just discovered a new favorite song, 'Drivers License' by Olivia Rodrigo.""",not_sarcasm
"""8. ""The Eiffel Tower is closed today due to high winds, plans changed.""",not_sarcasm
"""9. ""I've been trying to learn French for years, any tips are appreciated.""",not_sarcasm
"""10. ""Just got back from the gym, feeling great and ready for the day.""",not_sarcasm
"""11. ""I'm so grateful for the love and support of my friends and family.""",not_sarcasm
"""12. ""Can't decide between pizza or sushi for dinner, any suggestions?""",not_sarcasm
"""13. ""Just saw a beautiful sunset, nature's art is amazing.""",not_sarcasm
"""14. ""I'm struggling with this math problem, anyone have a hint?""",not_sarcasm
"""15. ""The new iPhone just came out, thinking about upgrading.""",not_sarcasm
"""16. ""I'm loving this cold weather, it's perfect for hot chocolate and movies.""",not_sarcasm
"""17. ""Just started reading 'The Great Gatsby,' any book club recommendations?""",not_sarcasm
"""18. ""I'm so excited for the new season of 'The Mandalorian' to start.""",not_sarcasm
"""19. ""Just found out my favorite band is coming to town, can't wait!""",not_sarcasm
"""20. ""I'm concerned about the rising COVID-19 cases in my city.""",not_sarcasm
"""21. ""Just tried online learning for the first time, it's different but manageable.""",not_sarcasm
"""22. ""I'm really enjoying my new job, the team is awesome.""",not_sarcasm
"""23. ""Just saw a dog walking itself, it was adorable and a little worrying.""",not_sarcasm
"""24. ""I'm planning a surprise birthday party for my best friend.""",not_sarcasm
"""25. ""Just tried making homemade pasta for the first time, it was a bit of a mess but delicious.""",not_sarcasm
"""26. ""I'm so impressed by the creativity of the contestants on 'The Great British Baking Show'.""",not_sarcasm
"""27. ""Just heard about the tragedy in Ukraine, my heart goes out to the victims.""",not_sarcasm
"""28. ""I'm trying to cut back on coffee, any tips for a caffeine addict?""",not_sarcasm
"""29. ""Just started a garden, it's been therapeutic and rewarding.""",not_sarcasm
"""30. ""I'm excited to attend my first virtual comic-con this weekend.""",not_sarcasm
"""31. ""Just found out I'm allergic to my favorite flowers, life's full of surprises.""",not_sarcasm
"""32. ""I'm so impressed by the work of local artists at the art market today.""",not_sarcasm
"""33. ""Just started learning to play the guitar, it's harder than it looks.""",not_sarcasm
"""34. ""I'm so grateful for the rain today, our plants needed it.""",not_sarcasm
"""35. ""Just saw a viral video of a cat playing the piano, it's amazing what they can do.""",not_sarcasm
"""36. ""I'm really enjoying this true crime podcast, it's both fascinating and disturbing.""",not_sarcasm
"""37. ""Just tried a new recipe, it was a hit with the kids.""",not_sarcasm
"""38. ""I'm so proud of myself for sticking to my New Year's resolution.""",not_sarcasm
"""39. ""Just saw a meteor shower, it was magical.""",not_sarcasm
"""40. ""I'm concerned about the increasing number of homeless people in my city.""",not_sarcasm
"""41. ""Just started a book club with some friends, it's been great to discuss different perspectives.""",not_sarcasm
"""42. ""I'm so excited to go camping this weekend, nothing beats the great outdoors.""",not_sarcasm
"""43. ""Just tried meditation for the first time, it was harder than I thought.""",not_sarcasm
"""44. ""I'm really enjoying this new series on Netflix, it's so binge-worthy.""",not_sarcasm
"""45. ""Just saw a video of a man proposing with a ring pop, it was adorable and creative.""",not_sarcasm
"""46. ""I'm so grateful for the healthcare workers on the frontlines during this pandemic.""",not_sarcasm
"""47. ""Just started learning a new language, any tips for a beginner?""",not_sarcasm
"""48. ""I'm so impressed by the creativity of the costumes at this year's Comic-Con.""",not_sarcasm
"""49. ""Just found out I got into my top choice for grad school, I'm over the moon!""",not_sarcasm
"""50. ""I'm really hoping for some clear skies tonight to see the Perseid meteor shower.""",not_sarcasm
"""1. ""I'm so thrilled to have graduated today, it's been a long journey but I finally did it!""",not_sarcasm
"""2. ""I'm really worried about the upcoming storm, I hope everyone stays safe.""",not_sarcasm
"""3. ""Just another rainy day in Seattle, perfect for a cozy movie night.""",not_sarcasm
"""4. ""I can't believe I finally got tickets to that sold-out concert, you're my lucky charm!""",not_sarcasm
"""5. ""I'm so grateful for the outpouring of support after my surgery, it means the world to me.""",not_sarcasm
"""6. ""Just started reading 'To Kill a Mockingbird', loving it so far!""",not_sarcasm
"""7. ""I'm struggling with the new project at work, could use some advice if anyone has time?""",not_sarcasm
"""8. ""The local farmers market is a dream this time of year, fresh peaches and tomatoes everywhere!""",not_sarcasm
